city,forecast_date,nasa_latest_used,run_timestamp,target,unit,actual,is_om_sourced,ensemble,MV_HLSTM_GRU,MV_GRU,UV_HLSTM_GRU,UV_GRU,adjustment_applied,err_ensemble,abs_err_ensemble,err_MV_HLSTM_GRU,abs_err_MV_HLSTM_GRU,err_MV_GRU,abs_err_MV_GRU,err_UV_HLSTM_GRU,abs_err_UV_HLSTM_GRU,err_UV_GRU,abs_err_UV_GRU
Chennai,2026-06-12,2026-06-09,2026-06-12T09:46:05.097477,PRmsl,Pa,100676.585,True,100549.9203,100546.2078,100548.3316,100537.8796,100567.2621,False,-126.6647,126.6647,-130.3772,130.3772,-128.2534,128.2534,-138.7054,138.7054,-109.3229,109.3229
Chennai,2026-06-12,2026-06-09,2026-06-12T09:46:05.097477,RH2m,%,70.6918,True,66.6923,67.3595,64.9877,69.0168,65.405,False,-3.9995,3.9995,-3.3323,3.3323,-5.7041,5.7041,-1.675,1.675,-5.2868,5.2868
Chennai,2026-06-12,2026-06-09,2026-06-12T09:46:05.097477,TMP2m,C,32.46,True,30.4543,30.1373,30.4269,30.8892,30.3638,False,-2.0057,2.0057,-2.3227,2.3227,-2.0331,2.0331,-1.5708,1.5708,-2.0962,2.0962
Chennai,2026-06-12,2026-06-09,2026-06-12T23:50:40.888858,PRmsl,Pa,100676.585,True,100549.9203,100546.2078,100548.3316,100537.8796,100567.2621,False,-126.6647,126.6647,-130.3772,130.3772,-128.2534,128.2534,-138.7054,138.7054,-109.3229,109.3229
Chennai,2026-06-12,2026-06-09,2026-06-12T23:50:40.888858,RH2m,%,70.6918,True,66.6923,67.3595,64.9877,69.0168,65.405,False,-3.9995,3.9995,-3.3323,3.3323,-5.7041,5.7041,-1.675,1.675,-5.2868,5.2868
Chennai,2026-06-12,2026-06-09,2026-06-12T23:50:40.888858,TMP2m,C,32.46,True,30.4543,30.1373,30.4269,30.8892,30.3638,False,-2.0057,2.0057,-2.3227,2.3227,-2.0331,2.0331,-1.5708,1.5708,-2.0962,2.0962
Chennai,2026-06-12,2026-06-09,2026-06-12T23:59:43.542848,PRmsl,Pa,100676.585,True,100549.9203,100546.2078,100548.3316,100537.8795,100567.2621,False,-126.6647,126.6647,-130.3772,130.3772,-128.2534,128.2534,-138.7055,138.7055,-109.3229,109.3229
Chennai,2026-06-12,2026-06-09,2026-06-12T23:59:43.542848,RH2m,%,70.6918,True,66.6923,67.3595,64.9877,69.0168,65.405,False,-3.9995,3.9995,-3.3323,3.3323,-5.7041,5.7041,-1.675,1.675,-5.2868,5.2868
Chennai,2026-06-12,2026-06-09,2026-06-12T23:59:43.542848,TMP2m,C,32.46,True,30.4543,30.1373,30.4268,30.8892,30.3638,False,-2.0057,2.0057,-2.3227,2.3227,-2.0332,2.0332,-1.5708,1.5708,-2.0962,2.0962
